(2020-01-28 18:38:55.060697) | Strategy init with wallet: BNBUSDT
(2020-01-28 18:38:58.652885) | Neuron 11 in layer: 1 has weights and bias[0.960819607901599, 0.8681227611567343, 0.41823985053832013, 0.2946101078167601, 0.03842613892206992, 0.7099999399290231, 0.8164366638226876, 0.9396337889772218, 0.625927131555905, 0.8054844919698044, 0.5215123692884619, 0.6487241519143883, 0.19779429321053266, 0.9202906813815391, 0.2967160428862293, 0.024094850145651714, 0.7459004338101348, 0.3277911326985593, 0.9122216806910357, 0.8957632827585561, 0.4139846239139051, 0.8814004206941983, 0.116825994317859, 0.14267463748831755, 0.12031300206643802, 0.6257817383149706, 0.3786683623806931, 0.9656791093224039, 0.03066242882459258, 0.24509327649919255, 0.5957046709811835, 0.6578779848036724, 0.3609725262867154, 0.799487179218357, 0.1331533686669103, 0.875868304824255, 0.40312650846827147, 0.12549246429598138, 0.07358776040823933, 0.32094681211567144, 0.98786112869488, 0.2726432769287723, 0.7321525008587664, 0.9506578860950738, 0.6863395184617709, 0.12841612767460175, 0.054859912485227924, 0.5713898756411838, 0.7072887432398748, 0.3852436940495858, 0.534110759418132, 0.12959988992761118, 0.6122780234504333, 0.0456736493314186, 0.1478343551713781, 0.1048472374646392, 0.01007990864181707, 0.005483369793379489, 0.36170448544177103, 0.6730603936601091, 0.8763880550195925, 0.7910630929336919, 0.6122648880804146, 0.38358277392518714, 0.6967026988573148, 0.9859320904250493, 0.9510860529276374, 0.02499055378862325, 0.9371883302335241, 0.48769059478371923, 0.6660960878928206, 0.1385120984122693, 0.4800067403148187, 0.9990079047282443, 0.5876559968871352, 0.21200582067906548, 0.037961557456231754, 0.9885793604156708, 0.415328603275385, 0.9150098002677728, 0.11594448178208572, 0.9983088772953786, 0.6153947451262178, 0.13341774163317355, 0.9726833321388867, 0.35397952544123346, 0.94677305014014, 0.40709813808377426, 0.21891567303835824, 0.4268833614394074, 0.6902837347295572, 0.9099404003252407, 0.1587674665266996, 0.7629992299852278, 0.1106315003017051, 0.525609025779902, 0.4204975759667614, 0.6915448142002676, 0.10106725188787269, 0.6185863954060379, 0.3834764389203452, 0.3136198907239951, 0.9585881586083029, 0.9480347534239891, 0.9843870585106617, 0.36806125227893693, 0.06108106497251897, 0.28216457547340656, 0.10569981609724188, 0.6691702192654922, 0.924630351492132, 0.24137041223281697, 0.1966273090617272, 0.23409763166058217, 0.5717934337685153, 0.5932639489746379, 0.21654332082345018, 0.7253198091837035, 0.9548669066140908, 0.9851617437322749, 0.5010196466028787, 0.6743326550545381, 0.23162345974860532, 0.9141134309509821, 0.2714148985553645, 0.9006302606050485, 0.7477448193249827, 0.32649949706506] bias: 0.0
(2020-01-28 18:38:58.668988) | Neuron 0 in layer: 2 has weights and bias[0.8872526515853978, 0.48349228483195905, 0.30593677365751837, 0.6184045327773844, 0.05869380718600081, 0.8282699671698011, 0.8849363576938228, 0.8481795496073555, 0.43595134954210657, 0.187641595704361, 0.6620757658670283, 0.44400564983919] bias: 0.0
Traceback (most recent call last):
  File "C:/Users/robbe/PycharmProjects/Cryp/main.py", line 26, in <module>
    start = main()
  File "C:/Users/robbe/PycharmProjects/Cryp/main.py", line 23, in __init__
    strategy = Strategy.Strategy(wallet,binance_client=client)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 30, in __init__
    self.train(network_da)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 48, in train
    startfitness = eval()
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 44, in eval
    fitness = self.fitness(self.run_over_data(data=data, interval_size=self.model_interval))
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 106, in run_over_data
    afwijkingen.append(abs(self.model.predict(inputs=data[i:i + interval_size])-data[i+interval_size+1]))
  File "C:\Users\robbe\PycharmProjects\Cryp\AI\Model.py", line 42, in predict
    biases = self.layers[l].bias_matrix()
  File "C:\Users\robbe\PycharmProjects\Cryp\AI\Model.py", line 27, in bias_matrix
    return biaslist.reshape((1,M))
TypeError: 'tuple' object cannot be interpreted as an integer
